,string,label,clause1,operator,clause2
543,fWVozOfH_X > _y_UH,0,0,2,0
544,mGwgol = u_t,0,0,6,0
545,zZMIB >= UXN,0,0,4,0
546,afuT >= IMr,0,0,4,0
547,Yv_M_NWw < f_EyXt,0,0,3,0
548,K_VYezE_ye < _,0,0,3,0
549,u_B_JCtNab < k,0,0,3,0
550,_bHSlCz < l,0,0,3,0
551,cvYW = _fM_,0,0,6,0
552,IXh <= E,0,0,5,0
553,wrCTr_jfn = GnTgFY_TG,0,0,6,0
554,mB >= zMUsYS_,0,0,4,0
555,QxsAGhf_R = _,0,0,6,0
556,_dPz_Wmm <= qrf__V,0,0,5,0
557,__MwEC > i_qp,0,0,2,0
558,HlhF__ <= b,0,0,5,0
559,fHfSpp = ajhW,0,0,6,0
560,bUhQD < UUuIBniVT,0,0,3,0
561,_CU_RjVVk >= kkdwbCre,0,0,4,0
562,__EqEgQoQ < LWkB,0,0,3,0
563,Oh >= ZEJ,0,0,4,0
564,ETS_WG__lf < ENzNHN,0,0,3,0
565,UGOohg < M,0,0,3,0
566,PDRZVBJgU_ = i_Y_,0,0,6,0
567,bWHDl > ghkx__,0,0,2,0
568,OxQMGCyMTB >= k___potx_,0,0,4,0
569,_O = TESCmy_,0,0,6,0
570,_pdkp_ > SektZ,0,0,2,0
571,_Pf >= yL,0,0,4,0
572,_sz_s < iMC,0,0,3,0
573,gzvjg_Ggb >= BOh,0,0,4,0
574,Qh < RNGKl,0,0,3,0
575,XsmNGuEGhq = Ox_,0,0,6,0
576,a_ > kCBzi_Csg,0,0,2,0
577,XF_up <= _q_Zws,0,0,5,0
578,ut_PbmgN < y_VlAvJ,0,0,3,0
579,__UbzNd = M,0,0,6,0
580,kAX > _rb_f__,0,0,2,0
581,upxdbAYFy = z_w_z_,0,0,6,0
582,xXBvu < SToTn_QNAi,0,0,3,0
583,bpny_zUooj < QegLuy_TW,0,0,3,0
584,u <= piaKtaADg,0,0,5,0
585,_yPcj_Xzg = iNuP_DVs,0,0,6,0
586,aN_wom_T_F <= _ttX_,0,0,5,0
587,EjOK = XwoVK,0,0,6,0
588,TdheC < Mw_A,0,0,3,0
589,U_yl_juD = PrKyWariY,0,0,6,0
590,_wxgzP = TYrOnUld,0,0,6,0
591,q >= _,0,0,4,0
592,ES_L >= av_YWmGEI,0,0,4,0
593,N_S_QxrA = jW_GT,0,0,6,0
594,C__ < _g_iC,0,0,3,0
595,WV_e >= vynB,0,0,4,0
596,B_M > RavkgsIi,0,0,2,0
597,RCwefFK >= lIB,0,0,4,0
598,___qtO_F = v,0,0,6,0
599,EtNjR >= _,0,0,4,0
600,_QCYtKL >= spnkkv,0,0,4,0
601,GbLhykX > WwNxpcm,0,0,2,0
602,_wx < a_c,0,0,3,0
603,_R > dxcwO,0,0,2,0
604,UtPIVE <= um_l__yWc,0,0,5,0
605,ZKHbTp >= f,0,0,4,0
606,SN_kS_Gb <= cMT,0,0,5,0
607,aNZ__hABwW < _u_qIAxsV,0,0,3,0
608,lOzrDkOai >= UoYZoLHI,0,0,4,0
609,R_sx > Z,0,0,2,0
610,CnR > musD,0,0,2,0
611,v__ns__ezH <= aYMbgQs_,0,0,5,0
612,qEFsI_ >= q_,0,0,4,0
613,Q >= xq_J,0,0,4,0
614,EA >= CfrQjy,0,0,4,0
615,AYN < PAV,0,0,3,0
616,hXS >= r,0,0,4,0
617,C > MfzW,0,0,2,0
618,DvD <= CX,0,0,5,0
619,jD_fVNmGnr > u,0,0,2,0
620,m_mZR > M,0,0,2,0
621,_gRxyOMH > HhTTV,0,0,2,0
622,BXejmb_bP > _T__U_f,0,0,2,0
623,XE_ < R_w_rezCBR,0,0,3,0
624,Gd > _pQ___A,0,0,2,0
625,RP_Yo_ > FS,0,0,2,0
626,j_zEbfQqvL >= cgcV_S,0,0,4,0
627,_Q >= __fTWr,0,0,4,0
628,GDMYLVDiqp > ikhIR_,0,0,2,0
629,ovjj_I < cRsel_c_Sv,0,0,3,0
630,_ < w_zho,0,0,3,0
631,uejQ_o > IqQj,0,0,2,0
632,cW <= _rVi,0,0,5,0
633,V <= s,0,0,5,0
634,_naU = _mzvOwc_,0,0,6,0
635,fjsxW_Doq_ = Xee_L_vLj,0,0,6,0
636,_Oeof < FPy__eR,0,0,3,0
637,_ytCknB <= vfvet_xdyC,0,0,5,0
638,GT_ > BeXnSR,0,0,2,0
639,p__SyT >= Wlf_xzi,0,0,4,0
640,GZVs <= _HWvuFiRbc,0,0,5,0
641,JF = c,0,0,6,0
642,oUJkneebM <= _JzhLJl_,0,0,5,0
643,AgLOV_ >= Y,0,0,4,0
644,mv <= EP_ZgBDWR,0,0,5,0
645,_O_Q_u_OzZ <= AD_L,0,0,5,0
646,Hs >= ikQ_,0,0,4,0
647,vLx < d_g,0,0,3,0
648,_ < Sd_wBNnStf,0,0,3,0
649,yiBdH > hGvvh,0,0,2,0
650,Xyk_CkW = LYZks,0,0,6,0
651,zTOi < _H_OMTCC,0,0,3,0
652,rfIiNUg_wu > YaKJV,0,0,2,0
653,IxlY = r,0,0,6,0
654,HKpo_U = TAt_qq,0,0,6,0
655,hU < m_vzpogb,0,0,3,0
656,_pATq <= z_gFqcLK,0,0,5,0
657,Ib__RgOsP > EjP,0,0,2,0
658,I_lH > Q,0,0,2,0
659,FX__Nfix <= _W_,0,0,5,0
660,__whapWD >= bY_,0,0,4,0
661,eu_fSZ_Z >= QQ_kpD,0,0,4,0
662,dO_z >= QEmsYp_,0,0,4,0
663,fwqxmyWdG <= L_TRj,0,0,5,0
664,ydhMe <= TknTaK_,0,0,5,0
665,Ym_k_ < nFYfW_T,0,0,3,0
666,a_PbWdeU > ou,0,0,2,0
667,B_YbQnU > _Umw,0,0,2,0
668,bg_Yc <= FrVVD,0,0,5,0
669,AwIl___ >= _Y_sJgPhR,0,0,4,0
670,Lg = WBv,0,0,6,0
671,nwk > GdMeellQP,0,0,2,0
672,LxfMii_g = kJiAI_h_,0,0,6,0
673,Pgp = _NUj_O,0,0,6,0
674,t_Vxim > cubY,0,0,2,0
675,K_cI_fK > wYxuAMt,0,0,2,0
676,z_EEZZbZmn > PCykc_JIY,0,0,2,0
677,L > LE,0,0,2,0
678,Wfn < _HaPieKl,0,0,3,0
679,DJ_rby_ = dT_OZEYm_D,0,0,6,0
680,c >= QP_rMl,0,0,4,0
681,Ys <= uc_zCIfho,0,0,5,0
682,A_YB_Jr <= Li,0,0,5,0
683,__ >= jh,0,0,4,0
684,_Xu_I <= pXtw,0,0,5,0
685,KmQB > Q_nir,0,0,2,0
686,__U_Oq_LR >= y,0,0,4,0
687,_FOb = _bEN_,0,0,6,0
688,MlIOy_uAE < o,0,0,3,0
689,O_OvbgYi < st,0,0,3,0
690,UTNCGw >= Cz,0,0,4,0
691,opW < VhcxLlCQR,0,0,3,0
692,h__ = s,0,0,6,0
693,U < Jo,0,0,3,0
694,_l >= SPPiq,0,0,4,0
695,nc < wYFvD,0,0,3,0
696,GjNtk = RYHv,0,0,6,0
697,bBsK_d >= yK,0,0,4,0
698,h_wroNhuxi = _dD,0,0,6,0
699,PaEM_Mz_ < X_,0,0,3,0
700,_hfhOuk_U > _ajqKTxE,0,0,2,0
701,sV_u = cM_gj,0,0,6,0
702,A > D,0,0,2,0
703,Of___j_E < X__ljD_T,0,0,3,0
704,MXKgQ = Od,0,0,6,0
705,xM >= _,0,0,4,0
706,E_XQ < __D_hl,0,0,3,0
707,_HKHdnDt < iwBRt_k,0,0,3,0
708,II >= ElvIt,0,0,4,0
709,a_ > G,0,0,2,0
710,yDoTnP_sY_ > e__zZCk__,0,0,2,0
711,NyR_W >= aq,0,0,4,0
712,_kK = _,0,0,6,0
713,R_rYY_c >= Fnw_D,0,0,4,0
714,Rf_m <= H,0,0,5,0
715,_BQksBL_W <= R_,0,0,5,0
716,Nzk_I_O = ZcByvPWd,0,0,6,0
717,ex_vKmgAE < dWonXxln_,0,0,3,0
718,yyehSM_rmv <= zc_Q,0,0,5,0
719,_R__ <= gJQ_JBK,0,0,5,0
720,D >= lelhX,0,0,4,0
721,iEPtE_cwok = Vtzx,0,0,6,0
722,jm_qCReD >= q_,0,0,4,0
723,Adb <= _Vs_,0,0,5,0
724,oOno_c < R,0,0,3,0
725,_P >= fKq_,0,0,4,0
726,u_vhE_ >= ow,0,0,4,0
727,ssYAW_d_jU < _mMEPh_,0,0,3,0
728,jl > UP_,0,0,2,0
729,_ = _IGFvhiOt,0,0,6,0
730,Fozg_uh >= _,0,0,4,0
731,pknVwE_Br >= ON_TN,0,0,4,0
732,d >= I,0,0,4,0
733,aJQAeAoIRc > X_IV_mK_H,0,0,2,0
734,_qT_CoD_uU > FC_K__,0,0,2,0
735,_fJ > wMTLA_Ee,0,0,2,0
736,qv_kvoED >= hihgP,0,0,4,0
737,DCH > wfg_IRS,0,0,2,0
738,mTlM_quj_u > nPOb,0,0,2,0
739,kI_fDWgeb < A_biRCdR,0,0,3,0
740,q_ >= rmXz,0,0,4,0
741,ogDhkA = dL_jHs_V,0,0,6,0
742,PSJ = jUky_jDZ,0,0,6,0
743,_etRhl > o,0,0,2,0
744,on_ <= WruawhzGSi,0,0,5,0
745,_nDC_a < LAAS,0,0,3,0
746,v_ = Rc_Gm,0,0,6,0
747,GHs_efbTI <= HK___,0,0,5,0
748,ytE = TjE_a,0,0,6,0
749,Ow > F,0,0,2,0
750,y < i_,0,0,3,0
751,kl_TNn_ <= lEFnJTP,0,0,5,0
752,Db >= YSZuT,0,0,4,0
753,_P_ < Rp,0,0,3,0
754,Ofal <= i,0,0,5,0
755,iOHfJy_tui > JzXObA__B,0,0,2,0
756,x_t_Le > __ny,0,0,2,0
757,P = bE,0,0,6,0
758,qB < FNWak_ih,0,0,3,0
759,X <= VK_e,0,0,5,0
760,XybK_NSb <= _d,0,0,5,0
761,_aZGLHPcv < fmRRm_eOus,0,0,3,0
762,Z < sHZ,0,0,3,0
763,oxjZQK <= DYWJHL,0,0,5,0
764,_DngvyS <= Drn__y_PZ,0,0,5,0
765,oMwlo <= e,0,0,5,0
766,n <= n_hpdJP,0,0,5,0
767,OhSx < ZcKfEW,0,0,3,0
768,sH <= __NYZH,0,0,5,0
769,N_q <= YO_XRRQ,0,0,5,0
770,VGOGK <= E,0,0,5,0
771,O_QVrNThl <= y,0,0,5,0
772,xbgOaWJ <= RzHP_,0,0,5,0
773,bt >= ckcdj,0,0,4,0
774,_aTiCr_Ec <= Tkmwuy,0,0,5,0
775,wPeFQb__ < oLSGPc_,0,0,3,0
776,Nte <= BqjyE,0,0,5,0
777,CI_L > y,0,0,2,0
778,BMx = FbfpS,0,0,6,0
779,b <= O,0,0,5,0
780,ZT <= b,0,0,5,0
781,XQXQMy_ <= DtLdI,0,0,5,0
782,WFXiYGAccC >= MgP_Z_,0,0,4,0
783,m = nmNiIqP,0,0,6,0
784,_vV_ <= g,0,0,5,0
785,udnAt_Zd < sQ,0,0,3,0
786,Oo_au >= zsl_De_pD_,0,0,4,0
787,ELmlT_mAQR = _P_,0,0,6,0
788,eYE_ > yFdY__,0,0,2,0
789,fbfStLKk >= f,0,0,4,0
790,UGiH >= XlpCWAPa_V,0,0,4,0
791,n_V = XkyOc,0,0,6,0
792,IOtpqJ__ >= vNGhH,0,0,4,0
793,__yUEurjJu <= gxlR_W,0,0,5,0
794,n = ElcPk_vkdI,0,0,6,0
795,Pkhq__ >= qX,0,0,4,0
796,Bz_aNo = HZx_rCU,0,0,6,0
797,dJmI_ >= _t_WbXwEKX,0,0,4,0
798,NASbwDy <= iQKZN,0,0,5,0
799,u < Pjl_,0,0,3,0
800,BPn !> uJzPYfkU_i,1,0,7,0
801,__g__r !< Tie,1,0,8,0
802,_CEBM != t,1,0,9,0
803,r_GNG !< rx,1,0,8,0
804,VPYs !> tyMNG_PD_,1,0,7,0
805,tMgPC_qXT !< rD,1,0,8,0
806,CAM != sjcri,1,0,9,0
807,Tl_TDX != JrqD,1,0,9,0
808,SF__yKoq_ !> _K,1,0,7,0
809,X_wvD_ != CILPeRNm,1,0,9,0
810,hYadMr !> toK_BwY_b,1,0,7,0
811,ZA__ybEWl_ !> s,1,0,7,0
812,_tZN_ !> w,1,0,7,0
813,Vwup != _TFxu__Bx,1,0,9,0
814,_Cgvc_ != XkfeGhHX_,1,0,9,0
815,X_uMydkff !> _Aub,1,0,7,0
816,um_H !< djJuz_ZG,1,0,8,0
817,kdyc_Q != aT_xO_,1,0,9,0
818,f_d_A !> __d,1,0,7,0
819,_A_yNJQg !> nshN,1,0,7,0
820,enWS !> KGyMhAlw,1,0,7,0
821,b !< pd__h,1,0,8,0
822,_jmCC__mpr != SVe_ZRm_a,1,0,9,0
823,md !> xjM_yaoJ,1,0,7,0
824,nIi__ !< oDlT_PMj,1,0,8,0
825,EfFlVRE != FPcq_ocfo,1,0,9,0
826,x_ik !< _d_a,1,0,8,0
827,k !< _ErUlo,1,0,8,0
828,CUATXxX_Sc !< y,1,0,8,0
829,AX !< _JZcLX_zX,1,0,8,0
830,Uny !> SQU_Up__,1,0,7,0
831,TEOgx !> OwOxj_fpXr,1,0,7,0
832,mNShsckc !< FT,1,0,8,0
833,nT !> ZH,1,0,7,0
834,_j_K !> _kJxbe,1,0,7,0
835,KxH !< vVmiXzuJD,1,0,8,0
836,V !< dsh,1,0,8,0
837,xSm_r != _,1,0,9,0
838,kYg_zg != i_LYPm_vK,1,0,9,0
839,mf != Zzsit_X,1,0,9,0
840,fKJKg_H !< _XuRCYgE,1,0,8,0
841,S_BKmZnku != bTnKkO_oq,1,0,9,0
842,cVBkfHxFjS != wm_T,1,0,9,0
843,bxHrV !> V_TOl_I,1,0,7,0
844,iN !> JX,1,0,7,0
845,___ !> rK_mUlWCe,1,0,7,0
846,EZ !< ezUm_N_,1,0,8,0
847,p_mbZ_ !> q_Bc_dlw,1,0,7,0
848,ee_VBzf_ != Hf,1,0,9,0
849,XZLkaJJS_ !> h__R,1,0,7,0
850,_K !> o,1,0,7,0
851,Mz != t,1,0,9,0
852,WMjzRdTl !< nR,1,0,8,0
853,Sn__Kg_ !> ArnuaBd_a,1,0,7,0
854,JGHqiA !< qDk_GcXc,1,0,8,0
855,T_ !< __DgH,1,0,8,0
856,Yl != _nxXn__Zad,1,0,9,0
857,ZrZolYXVM !> _g,1,0,7,0
858,HncntqkDR !> baeQGiXb,1,0,7,0
859,K_MgHZh !< _n,1,0,8,0
860,tjHBeuP_a !< LVW_QPAlzm,1,0,8,0
861,m !< K,1,0,8,0
862,r !< sD_faQ,1,0,8,0
863,F !> t,1,0,7,0
864,C_GGbV !> JCk,1,0,7,0
865,jgJ !< l,1,0,8,0
866,u !< d_I_,1,0,8,0
867,PA_ !< WcUjF,1,0,8,0
868,MOZA != MWQRNiy,1,0,9,0
869,uNyR !< khl_ga,1,0,8,0
870,s !< PT_P,1,0,8,0
871,_ != pS,1,0,9,0
872,Nd__ !> _XDFqVsvsm,1,0,7,0
873,oEznD != ku_WKBsb_J,1,0,9,0
874,_xo != B_Ja_,1,0,9,0
875,YqGePyc != h,1,0,9,0
876,gs != TCtjqF,1,0,9,0
877,M_NDcVm_ != _isZ_w,1,0,9,0
878,y_Jn_CD !< _dPypwtw,1,0,8,0
879,_oh !< fG_eySnmG,1,0,8,0
880,sauI != _KwK__bLj,1,0,9,0
881,G_PVtnjYB !> _aMAu_,1,0,7,0
882,enL_Bnigz != Eizi_QBL,1,0,9,0
883,s__ZUr != kjgwK,1,0,9,0
884,Nd_ir_k__ !> h,1,0,7,0
885,rr != d_M,1,0,9,0
886,qciZSJv !< X,1,0,8,0
887,guO_jo !> l,1,0,7,0
888,h !> KRbFneJ,1,0,7,0
889,jGKwa != XhKJRES,1,0,9,0
890,L__aKY_ !< tZzxLZSwF,1,0,8,0
891,_fno !< xc_p,1,0,8,0
892,LCLdcL_P !> n,1,0,7,0
893,_dOkEXyt != HhNvoK,1,0,9,0
894,q_g_e_Y_ != H,1,0,9,0
895,RQ_v != jse,1,0,9,0
896,RzN != lCOYemk_e,1,0,9,0
897,vxF_GomT !> _rGNXEyW_,1,0,7,0
898,EtMp_Sgv !< BXPw_,1,0,8,0
899,RtXLc_ != qVTR_xo,1,0,9,0
900,c_bPZ !> HM_,1,0,7,0
901,wBAtj_V !< __BUPunRH,1,0,8,0
902,DtG !> F_Hca_E,1,0,7,0
903,_ZG !< RqPua_bD,1,0,8,0
904,_ !> uxhZDNH,1,0,7,0
905,C !> cKf,1,0,7,0
906,sUNY != MVgfX_EA,1,0,9,0
907,BUm !> i,1,0,7,0
908,xTzqiB !> Q,1,0,7,0
909,__e_ywj !> aDs_e__I,1,0,7,0
910,__RV_H_ !< PuG,1,0,8,0
911,R_aHWXm !< JM,1,0,8,0
912,__EHV !> _k_,1,0,7,0
913,CohU != ZBgtbd,1,0,9,0
914,XnKhuCWp != J,1,0,9,0
915,RLi_ysqy_ != VNlD_,1,0,9,0
916,gR !> _Pikab,1,0,7,0
917,RqnS_ !> V,1,0,7,0
918,MW !< rR__kM_g_r,1,0,8,0
919,EXzxQ != N_Gz,1,0,9,0
920,WgeeWYQ_M_ !< CZa,1,0,8,0
921,f != W,1,0,9,0
922,xrjPW_l !< NeXpLg__J,1,0,8,0
923,eSf !> UG,1,0,7,0
924,OJTi_HamP !> OTSGJK,1,0,7,0
925,PUaDAwcUTc !> j,1,0,7,0
926,YFyWw !> N,1,0,7,0
927,mUwV_e_Q !< OFD,1,0,8,0
928,daH != fPvYoHDHDF,1,0,9,0
929,YFYMyyTwkX != JzA,1,0,9,0
930,FavJOM_Jfj !< _,1,0,8,0
931,jlN !< g,1,0,8,0
932,i !< _ErJKiWeZ,1,0,8,0
933,mb_oTA_K !> jTgI_k_i_,1,0,7,0
934,vI_ !> B__vby,1,0,7,0
935,k__ !> TvpBqoihuX,1,0,7,0
936,_NS !< LtfJnKf,1,0,8,0
937,frEahxc_x !< LEEFvspF,1,0,8,0
938,_Q !< DS_,1,0,8,0
939,Wxne !< hdCviSX,1,0,8,0
940,VzDT !> wDqL_b,1,0,7,0
941,zA_Pe !< lrOzT_CvR,1,0,8,0
942,x != yp_CIswB,1,0,9,0
943,pT_ET !> hawUCk,1,0,7,0
944,fjh__mei_ !> UI_Et_sHr,1,0,7,0
945,aNEhcj_ejS != _hk,1,0,9,0
946,C != YYP,1,0,9,0
947,_MIpEBC !> lBpNkB,1,0,7,0
948,OP_t !< lEVPGe__,1,0,8,0
949,GRBoL_ix !> jObQ,1,0,7,0
950,_Lt_N_ !< kU,1,0,8,0
951,WP !> sRyo__l,1,0,7,0
952,XZeI !< otc,1,0,8,0
953,qzbZ_V != v_svWLN,1,0,9,0
954,_ !< _C,1,0,8,0
955,_v_fNUZe_c !> d_Tc,1,0,7,0
956,OMhYM_VNN_ !> sQ_yFt_,1,0,7,0
957,p_qYzM_K !< MPR_,1,0,8,0
958,_wbpg !< t_bqzyI,1,0,8,0
959,pkn !< y_j_R,1,0,8,0
960,ORRNU != I_,1,0,9,0
961,uJLuwJukR !> iEjV_G,1,0,7,0
962,MbThvYSl != HhcRhn,1,0,9,0
963,_ELU != o,1,0,9,0
964,z_dafS_ !> mpfmEfyFQq,1,0,7,0
965,wa !< vsyt,1,0,8,0
966,m !> EZSc_XL,1,0,7,0
967,_B !> hSd_S,1,0,7,0
968,ZiSeAv__u !> Wq_G_aND,1,0,7,0
969,aROrjr !< nO,1,0,8,0
970,rLRKZYd != Z_oQUt,1,0,9,0
971,cjIuTT !> wigp_,1,0,7,0
972,co !< XjjRUh,1,0,8,0
973,rGe_wMc_sF !> kBkDi,1,0,7,0
974,_ != HpKIoyWO,1,0,9,0
975,D !> _JXic,1,0,7,0
976,njtBIWUi !< Jo,1,0,8,0
977,hLS != hsErDQwc,1,0,9,0
978,Y_oLi_qC !> QjuCHHefvz,1,0,7,0
979,Dp____SV_ !< JLOGKO_HuS,1,0,8,0
980,aH != C,1,0,9,0
981,pS_LKvO_MK !> IMZa_o,1,0,7,0
982,J__NxdIA !< _VEFOT,1,0,8,0
983,RTYEhm !> s__,1,0,7,0
984,g != OSNyamVkV,1,0,9,0
985,HjGW != A_I,1,0,9,0
986,wHwH_lwxR !< WxlF,1,0,8,0
987,KBhlbjzdIK != UE,1,0,9,0
988,Q_X_XnQdW !> sJ_,1,0,7,0
989,__f !< fTJof_Jqc,1,0,8,0
990,TSd_cbw !< yFjb_,1,0,8,0
991,k_h_ != hlxR,1,0,9,0
992,v_TNdbk !> z,1,0,7,0
993,O__LvrvBg !> rs_D_,1,0,7,0
994,_ != GguIdsPA,1,0,9,0
995,_W_s_Idxg !> sNG_J,1,0,7,0
996,A != pg,1,0,9,0
997,_z !< e__eO,1,0,8,0
998,QH !< QRzisSk,1,0,8,0
999,p_xZMpP_c !> WuYvb,1,0,7,0
1000,Q__vjAkdYY !> iV_J_WR,1,0,7,0
1001,q_TX !< D,1,0,8,0
1002,RVvDyw !> jfPb_yBB,1,0,7,0
1003,c___ !< mp_,1,0,8,0
1004,G_pubcSW !< _,1,0,8,0
1005,xS_hff !> aV_Hw,1,0,7,0
1006,A_ !< _,1,0,8,0
1007,jL !< Xkf_kZ_XI,1,0,8,0
1008,x_p != azMc_Lr_H,1,0,9,0
1009,S_hZiX_FRf != hPP_O_he,1,0,9,0
1010,gL !> _,1,0,7,0
1011,yIPAYo !> xv,1,0,7,0
1012,A !> sWCZhJNjm,1,0,7,0
1013,Z_o_ != xqDWigYX,1,0,9,0
1014,_g_B !> A_e_Wpvtfh,1,0,7,0
1015,u_Fvf !> OsCKP_RKaR,1,0,7,0
1016,jfz_N_ != rbrdP,1,0,9,0
1017,lexDDfGH !< xb_p,1,0,8,0
1018,OvnjEzE !> jdkXZh,1,0,7,0
1019,cxATz_b_ !> qUsfT,1,0,7,0
1020,n !> Fe_J_,1,0,7,0
1021,hRA != _OrT,1,0,9,0
1022,yrFH___H !< yMk,1,0,8,0
1023,_ !< LZQ_,1,0,8,0
1024,Kbz !> i,1,0,7,0
1025,yyT_JZz_J !< Lvqi_,1,0,8,0
1026,AbEPNcQWzP !> KvcD_,1,0,7,0
1027,L_H != vXJxSI___W,1,0,9,0
1028,QrRJemoj != a,1,0,9,0
1029,cozZbZ_ !> rZxwqFDQp,1,0,7,0
1030,pAqZXmH !< FS_NvKYIB_,1,0,8,0
1031,cJpu_Yow !< W_,1,0,8,0
1032,_ !< F_Mm_Ez_,1,0,8,0
1033,Obc !< RCfY,1,0,8,0
1034,hko != vg,1,0,9,0
1035,dusJXmVBWG !> B_,1,0,7,0
1036,O_otlOVfh !< ROITt_o___,1,0,8,0
1037,_OIqoKju !< v,1,0,8,0
1038,TMf !< _Z_J_KN,1,0,8,0
1039,hDWoHv !< FgG___A_,1,0,8,0
1040,r !< _oqV_ao,1,0,8,0
1041,fnKM !< i_K,1,0,8,0
1042,_ != H,1,0,9,0
1043,egqpdg_mx_ != wwGJdiqOk,1,0,9,0
1044,FMTXEYry_ !< nyLJ_Mq_y,1,0,8,0
1045,qxH_d_E !< fEj_oxmh,1,0,8,0
1046,JOuVN_kRlt !> P_rVMUBc,1,0,7,0
1047,eJ_ != ED_,1,0,9,0
1048,vTv_ !> R_,1,0,7,0
1049,cqX !< z,1,0,8,0
1050,Y_I_O !< b,1,0,8,0
1051,lTt !> _vmo_xYn,1,0,7,0
1052,p_ !> rLS_XjC,1,0,7,0
1053,xPx__kFvrF != kShMSt,1,0,9,0
1054,WbYEy !< NK_m,1,0,8,0
1055,in_E !< _,1,0,8,0
1056,_P_EK !> rXFEa,1,0,7,0
1057,po != YJUhMjee_n,1,0,9,0
1058,C__ !< I_cfI,1,0,8,0
1059,SGPab_WFBf !> _qAy,1,0,7,0
1060,UoML != wVGAC__T_H,1,0,9,0
1061,wKdoyMJo !> _UPNzKp,1,0,7,0
1062,_z !> PmW_rW,1,0,7,0
1063,vG_MkNZ !< eT_CX,1,0,8,0
1064,kDPE_rpn !> NuBKi,1,0,7,0
1065,JXrlbw !< j_f,1,0,8,0
1066,ow !< Y,1,0,8,0
1067,Fxx != uYq_Pz__,1,0,9,0
1068,pmn !< _NCSco_kI,1,0,8,0
1069,qJl__CJAQ !> GxOR,1,0,7,0
1070,lUd_ZW != C,1,0,9,0
1071,hb != WTxtwAnyWu,1,0,9,0
1072,__nTJ !> _u_nUbPb,1,0,7,0
1073,JaWdx_ !> vxUsRx_L,1,0,7,0
1074,hHQChKOh !> pG_tl_ZJ,1,0,7,0
1075,eqajN__p !> h_PrDiTLUb,1,0,7,0
1076,YfMO_w !< _ncYh,1,0,8,0
1077,dGYhvx !> __tNj_,1,0,7,0
1078,_Ddn_Id != hy,1,0,9,0
1079,Y !< W,1,0,8,0
1080,Y !> _hbnM,1,0,7,0
1081,vAX != a_PZSjaQD,1,0,9,0
1082,P_ != nWaskGFMu,1,0,9,0
